feature_id	370(-)_SD_t2A	370(-)_SD_t2B	370(-)_SD_t7C	370(-)_t2A	370(-)_W_t2A	370(-)_W_t2B	370(-)_W_t7C	432(-)_t2B	432(-)_SD_t2A	432(-)_SD_t2B	432(-)_SD_t2C	432(-)_SD_t7C	432(-)_SD_t7D	432(-)_t2C	432(-)_W_t2A	432(-)_W_t2B	432(-)_W_t7C	432(-)_W_t7D
c060556001a69dd2a72511e64c88ef12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	28.0
8660e5bc738f9260f561f73bb7147b3e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0
ed22547263595cc77d72585005773db1	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
083760168022bb73247fb4b19893d3db	0.0	0.0	0.0	184.0	1.0	0.0	2.0	240.0	0.0	0.0	0.0	0.0	0.0	156.0	0.0	0.0	3.0	0.0
840fe3d78ef73a5bac2813b074200b56	45.0	33.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
182343c9edc9f6546426e11a52ff2cbd	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42e01cd608a5975b819a66dd05e82cba	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0
4018d395b65a6477ce703249551342f6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	216.0	420.0	171.0	0.0	0.0	0.0	0.0	157.0	366.0
50b04887f3f2cf98023ffaa0c1d87a5c	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f4282db2ba3d713408c8a6dab168092a	0.0	0.0	0.0	0.0	0.0	32.0	18.0	14.0	34.0	0.0	0.0	25.0	228.0	14.0	0.0	25.0	385.0	116.0
ccc1a15ed127daf1a9c7c14b058758a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0
69f0dd554f8e75d93857b595ad153f27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0
c80ba298420d0514d6b49bcba9cf1605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
fd2e02773c061aa132e263d2d6e0a027	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4ae9b55f9385739b081d3d2f4c6d401b	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4ba226e52e4cbd56fae8cd59a45bff79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	50.0	41.0
575a153a16b7a2a7c1902348a1c6ff64	0.0	0.0	4.0	18.0	0.0	0.0	16.0	0.0	15.0	0.0	9.0	23.0	184.0	18.0	13.0	0.0	127.0	11.0
c233e9dabed768bcc2fa7a462ee3272e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d424908247cc86d4d662ac85488f7c41	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
388c3b6362a7c20d5ad39e66bd89ae11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0
fcbb35b851de481274c2b43dd43ef2e7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0
73a92dfebf06e47b8ea2922a8303238c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0
8d2bde691500999ba5ecc740dbc0396e	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0bec1b602e50172c3bc37e882ec6625e	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3795487ae91b3b2f577a6b8d4646d4a8	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
485cbdc408fe23c3b2eba2b57a9e0588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97bdee2823bccab8cc62b3319b25e55d	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bc653afad6dfda378b58916fab7a9c33	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	16.0
14c38964de2471ed2ac06752b94b1f7b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
aacc60caced984523e022eb48008cf99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3aa02fbab0642d384e7b47de7b07fed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5dd89f9b466b018dc3a38bed3f98c2d3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	84.0	1096.0	0.0	0.0	0.0	0.0	49.0	48.0
f769cc3c025f5900ee6c35274a821bff	0.0	0.0	0.0	127.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	3.0	0.0	0.0
f9ac6c8d8fcde407fa0f6e820f6ab823	0.0	0.0	0.0	163.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c11a839222c9a65e15f2f89166a807c9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0
b16904e5a24571875ba90eee0b4c93b2	0.0	0.0	0.0	301.0	52.0	464.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	0.0
eb21f848ce7962acae4bd1c4d79b720d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0
6c04298d5314c9a6ec98bed306fb8153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	224.0	0.0	0.0	0.0	0.0	0.0
c041a963ab2f243a2b4fbf878a2dae32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	383.0	179.0	0.0	0.0	0.0	0.0	0.0
